Year,Auto,LtTruck
1975,18,17.5
1976,18,17.5
1977,18,17.5
1978,18,17.5
1979,19,17.5
1980,20,17.5
1981,22,17.5
1982,24,17.5
1983,26,19
1984,27,20
1985,27.5,19.5
1986,26,20
1987,26,20.5
1988,26,20.5
1989,26.5,20.5
1990,27.5,20
1991,27.5,20.2
1992,27.5,20.2
1993,27.5,20.4
1994,27.5,20.5
1995,27.5,20.6
1996,27.5,20.7
1997,27.5,20.7
1998,27.5,20.7
1999,27.5,20.7
2000,27.5,20.7
2001,27.5,20.7
2002,27.5,20.7
2003,27.5,20.7
2004,27.5,20.7
2005,27.5,21
2006,27.5,21.6
2007,27.5,22.2
2008,27.5,22.5
2009,27.5,23.1
2010,27.5,23.5
2011,30.2,24.2
2012,33.3,25.4
2013,34.2,26
2014,34.9,26.6
2015,36.2,27.5
2016,38.2,28.9
2017,39.6,29.1
2018,41.1,29.6
2019,42.5,30
2020,44.2,30.6
2021,46.1,32.6
2022,48.2,34.2
2023,50.5,35.8
2024,52.9,37.5
2025,55.3,39.3
2026,55.3,39.3
2027,55.3,39.3
2028,55.3,39.3
2029,55.3,39.3
2030,55.3,39.3
2031,55.3,39.3
2032,55.3,39.3
2033,55.3,39.3
2034,55.3,39.3
2035,55.3,39.3
2036,55.3,39.3
2037,55.3,39.3
2038,55.3,39.3
2039,55.3,39.3
2040,55.3,39.3
2041,55.3,39.3
2042,55.3,39.3
2043,55.3,39.3
2044,55.3,39.3
2045,55.3,39.3
2046,55.3,39.3
2047,55.3,39.3
2048,55.3,39.3
2049,55.3,39.3
2050,55.3,39.3
